sample_id,country,location_code,location_name,X1km_square,sample_projection,land_cover,date,year,sample_media,digitised_by,recorder_type,habitat,habitat_other_detail,target_flower,target_flower_corrected,target_other_name,target_other_name_corrected,target_flower_family,flower_cover,floral_unit_count,floral_unit,flower_context,count_start_time,cloud_cover,sunshine,wind_speed,habitat_type,flower_structure,bumblebees,honeybees,solitary_bees,wasps,hoverflies,other_flies,butterflies_moths,beetles,insects_small,insects_other,all_insects_total
3070597,Wales,59,Wileirog,SN6185,OSGB,agricultural,21/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Campanula rotundifolia,Campanula rotundifolia,Campanulaceae,Target flowers cover more than half of patch,21,individual flower,Growing in a larger patch of the same flower,12:27,All or mostly cloud,Entirely shaded,Leaves moving gently all the time,semi-natural,closed,0,0,0,0,0,6,0,0,5,5,16
3070797,England,19,Westhay Moor,ST4543,OSGB,agricultural,23/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Leucanthemum vulgare,Leucanthemum vulgare,Asteraceae,Target flowers cover more than half of patch,28,flower head,Growing in a larger patch of the same flower,13:20,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,2,4,0,1,1,0,8
3070844,England,19,Westhay Moor,ST4543,OSGB,agricultural,23/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Grassland with wild flowers (e.g. meadow),NA,Ragwort - Senecio jacobaea and relatives,Ragwort - Senecio jacobaea and relatives,NA,NA,Asteraceae,Target flowers cover about half of patch,29,flower head,Growing in a larger patch of many different flowers,13:31,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,2,2,0,0,0,1,5
3070858,England,19,Westhay Moor,ST4543,OSGB,agricultural,23/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Other - please describe below,tall herbs,Hogweed - Heracleum sphondylium,Hogweed - Heracleum sphondylium,NA,NA,Apiaceae,Target flowers cover about half of patch,7,flower umbel,More or less isolated,11:00,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,3,1,17,0,0,7,0,28
3070890,England,19,Westhay Moor,ST4543,OSGB,agricultural,23/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Upland moorland,NA,Bramble (Blackberry) - Rubus fruticosus,Bramble (Blackberry) - Rubus fruticosus,NA,NA,Rosaceae,Target flowers cover less than half of patch,32,individual flower,Growing in a larger patch of the same flower,11:35,All or mostly cloud,Entirely shaded,Leaves moving gently all the time,semi-natural,open,0,0,0,0,2,1,0,0,0,1,4
3074580,Wales,63,Plas Bach,SH4072,OSGB,agricultural,20/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Hypochaeris radicata,Hypochaeris radicata,Asteraceae,Target flowers cover less than half of patch,6,flower head,Not recorded,12:13,Half blue and half cloud,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,0,0,0,0,0,2,0,1,1,0,4
3074585,Wales,63,Plas Bach,SH4072,OSGB,agricultural,20/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Hogweed - Heracleum sphondylium,Hogweed - Heracleum sphondylium,NA,NA,Apiaceae,Target flowers cover more than half of patch,4,flower umbel,Not recorded,12:55,All or mostly blue,Entirely in sunshine,Leaves moving strongly,semi-natural,open,0,0,0,0,0,9,0,0,0,1,10
3081701,England,19,Westhay Moor,ST4543,OSGB,agricultural,15/08/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Other - please describe below,freshwater edge,Other - please describe below,Other - please describe below,Lythrum salicaria,Lythrum salicaria,Onagraceae,Target flowers cover more than half of patch,28,flower spike,Growing in a larger patch of the same flower,14:10,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,8,3,0,0,1,2,0,0,0,0,14
3081716,England,19,Westhay Moor,ST4543,OSGB,agricultural,15/08/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Other - please describe below,freshwater edge,Other - please describe below,Other - please describe below,Angelica sylvestris,Angelica sylvestris,Apiaceae,Target flowers cover about half of patch,5,flower umbel,More or less isolated,10:50,All or mostly blue,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,2,0,0,2,13,9,0,0,0,0,26
3081719,England,19,Westhay Moor,ST4543,OSGB,agricultural,15/08/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Other - please describe below,freshwater edge,Other - please describe below,Other - please describe below,Mentha aquatica,Mentha aquatica,Lamiaceae,Target flowers cover less than half of patch,33,flower head,Growing in a larger patch of the same flower,12:30,All or mostly blue,Partly in sun and partly shaded,Leaves still/moving occasionally,semi-natural,closed,1,3,0,0,4,0,0,0,0,0,8
3084279,Wales,63,Plas Bach,SH4072,OSGB,agricultural,18/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,tall herbs,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium arvense,Cirsium arvense,Asteraceae,Target flowers cover about half of patch,17,flower head,Growing in a larger patch of the same flower,10:25,All or mostly cloud,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,1,1,0,0,2,3,7
3084324,Wales,63,Plas Bach,SH4072,OSGB,agricultural,18/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Knapweeds (Common or Greater) - Centaurea nigra or scabiosa,Centaurea nigra,Centaurea nigra,Asteraceae,Target flowers cover less than half of patch,4,flower head,Growing in a larger patch of many different flowers,11:44,All or mostly cloud,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,0,0,0,0,0,1,0,0,0,0,1
3084351,Wales,63,Plas Bach,SH4072,OSGB,agricultural,18/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,tall herbs,Other - please describe below,Ragwort - Senecio jacobaea and relatives,Senecio jacobaea,Senecio jacobaea,Asteraceae,Target flowers cover more than half of patch,150,flower head,Growing in a larger patch of many different flowers,12:05,All or mostly cloud,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,0,0,0,0,1,2,0,6,2,2,13
3084505,Wales,64,Pilleth,SO2568,OSGB,agricultural,19/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,scrub,Other - please describe below,Other - please describe below,Sambucus nigra,Sambucus nigra,Adoxaceae,Target flowers cover more than half of patch,60,flower umbel,Not recorded,13:45,Half blue and half cloud,Partly in sun and partly shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,1,0,0,0,0,0,1
3084565,Wales,64,Pilleth,SO2568,OSGB,agricultural,19/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,scrub,Bramble (Blackberry) - Rubus fruticosus,Bramble (Blackberry) - Rubus fruticosus,NA,NA,Rosaceae,Target flowers cover less than half of patch,21,individual flower,Not recorded,14:02,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,2,0,0,0,2,0,0,0,0,1,5
3084653,Wales,64,Pilleth,SO2568,OSGB,agricultural,14/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium vulgare,Cirsium vulgare,Asteraceae,Target flowers cover less than half of patch,28,flower head,More or less isolated,12:17,All or mostly cloud,Partly in sun and partly shaded,Leaves moving gently all the time,semi-natural,open,2,0,0,0,12,3,0,0,2,1,20
3084668,Wales,64,Pilleth,SO2568,OSGB,agricultural,14/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Bramble (Blackberry) - Rubus fruticosus,Bramble (Blackberry) - Rubus fruticosus,NA,NA,Rosaceae,Target flowers cover less than half of patch,32,individual flower,Growing in a larger patch of the same flower,11:35,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,6,3,1,1,4,5,0,0,0,0,20
3088665,Wales,65,Brynsiencyn,SH4866,OSGB,agricultural,19/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Trifolium pratense,Trifolium pratense,Fabaceae,Target flowers cover less than half of patch,8,flower head,Not recorded,13:35,All or mostly cloud,Entirely in sunshine,Leaves moving gently all the time,semi-natural,closed,0,0,0,0,0,0,0,0,0,0,0
3088694,Wales,65,Brynsiencyn,SH4866,OSGB,agricultural,19/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Hogweed - Heracleum sphondylium,Hogweed - Heracleum sphondylium,NA,NA,Apiaceae,Target flowers cover more than half of patch,8,flower umbel,Not recorded,13:55,All or mostly cloud,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,0,0,1,0,1,2,0,4,2,2,12
3088987,Wales,65,Brynsiencyn,SH4866,OSGB,agricultural,17/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,tall herbs,Other - please describe below,Ragwort - Senecio jacobaea and relatives,Senecio jacobaea,Senecio jacobaea,Asteraceae,Target flowers cover more than half of patch,250,flower head,Growing in a larger patch of the same flower,11:51,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,25,8,0,2,0,1,36
3088989,Wales,65,Brynsiencyn,SH4866,OSGB,agricultural,17/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,tall herbs,Hogweed - Heracleum sphondylium,Hogweed - Heracleum sphondylium,NA,NA,Apiaceae,Target flowers cover more than half of patch,8,flower umbel,Growing in a larger patch of the same flower,12:15,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,1,0,0,0,5,9,0,1,0,0,16
3088990,Wales,65,Brynsiencyn,SH4866,OSGB,agricultural,17/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,tall herbs,Hogweed - Heracleum sphondylium,Hogweed - Heracleum sphondylium,NA,NA,Apiaceae,Target flowers cover more than half of patch,14,flower umbel,Growing in a larger patch of the same flower,14:00,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,6,61,0,2,10,1,80
3090267,Wales,66,Pisgah,SN6777,OSGB,agricultural,21/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium palustre,Cirsium palustre,Asteraceae,Target flowers cover less than half of patch,32,flower head,Not recorded,11:30,Half blue and half cloud,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,0,1,0,0,3,0,0,0,0,0,4
3090280,Wales,66,Pisgah,SN6777,OSGB,agricultural,21/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Garden,NA,Bramble (Blackberry) - Rubus fruticosus,Bramble (Blackberry) - Rubus fruticosus,NA,NA,Rosaceae,Target flowers cover less than half of patch,20,individual flower,Not recorded,13:20,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,garden,open,3,0,1,1,4,0,0,1,0,2,12
3090339,Wales,66,Pisgah,SN6777,OSGB,agricultural,24/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,freshwater edge,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium palustre,Cirsium palustre,Asteraceae,Target flowers cover less than half of patch,40,flower head,Growing in a larger patch of the same flower,11:15,All or mostly blue,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,3,1,0,0,1,0,0,0,0,1,6
3090357,Wales,66,Pisgah,SN6777,OSGB,agricultural,24/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,freshwater edge,Bramble (Blackberry) - Rubus fruticosus,Bramble (Blackberry) - Rubus fruticosus,NA,NA,Rosaceae,Target flowers cover less than half of patch,20,individual flower,Growing in a larger patch of the same flower,12:00,All or mostly blue,Partly in sun and partly shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,5,13,1,0,0,0,19
3091653,England,10,Idestone,SX7048,OSGB,agricultural,25/08/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Scorzoneroides autumnalis,Scorzoneroides autumnalis,Asteraceae,Target flowers cover less than half of patch,28,flower head,Growing in a larger patch of the same flower,10:00,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,0,0,1,0,4,1,1,0,0,0,7
3091668,England,10,Idestone,SX7048,OSGB,agricultural,25/08/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Angelica sylvestris,Angelica sylvestris,Apiaceae,Target flowers cover about half of patch,6,flower umbel,Growing in a larger patch of many different flowers,10:20,Half blue and half cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,38,5,9,0,0,50,0,102
3091690,England,174,near Bridgwater,ST2636,OSGB,agricultural,07/09/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Farm crops or grassy pasture,NA,Other - please describe below,Other - please describe below,Sinalis arvensis,Sinalis arvensis,Brassicaceae,Target flowers cover less than half of patch,22,flower head,Growing in a larger patch of the same flower,11:15,Half blue and half cloud,Partly in sun and partly shaded,Leaves still/moving occasionally,agricultural,open,0,23,0,0,2,2,0,0,0,0,27
3091732,England,174,near Bridgwater,ST2636,OSGB,agricultural,07/09/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Other - please describe below,tall herbs,Other - please describe below,Other - please describe below,Impatiens glandulifera,Impatiens glandulifera,Balsaminaceae,Target flowers cover less than half of patch,22,individual flower,Growing in a larger patch of the same flower,11:45,Half blue and half cloud,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,closed,2,1,0,0,2,1,0,0,0,0,6
3091757,England,174,near Bridgwater,ST2636,OSGB,agricultural,07/09/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Farm crops or grassy pasture,NA,Ragwort - Senecio jacobaea and relatives,Ragwort - Senecio jacobaea and relatives,Senecio jacobaea,Senecio jacobaea,Asteraceae,Target flowers cover more than half of patch,150,flower head,More or less isolated,10:40,All or mostly cloud,Entirely shaded,Leaves moving gently all the time,agricultural,open,0,0,0,0,5,2,0,0,0,0,7
3091770,England,174,near Bridgwater,ST2636,OSGB,agricultural,07/09/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Farm crops or grassy pasture,NA,Other - please describe below,Other - please describe below,Trifolium pratense,Trifolium pratense,Fabaceae,Target flowers cover less than half of patch,21,flower head,Growing in a larger patch of the same flower,10:57,All or mostly cloud,Entirely shaded,Leaves moving gently all the time,agricultural,closed,1,0,0,0,0,0,0,0,0,0,1
3091959,Wales,67,near Eglwysbach,SH8170,OSGB,agricultural,21/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium palustre,Cirsium palustre,Asteraceae,Target flowers cover more than half of patch,18,flower head,Not recorded,11:35,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,1,3,0,0,0,0,0,0,0,0,4
3091961,Wales,67,near Eglwysbach,SH8170,OSGB,agricultural,21/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassy verge or hedgerow edge,NA,Bramble (Blackberry) - Rubus fruticosus,Bramble (Blackberry) - Rubus fruticosus,NA,NA,Rosaceae,Target flowers cover less than half of patch,15,individual flower,Not recorded,12:45,All or mostly cloud,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,0,1,0,0,0,0,0,0,0,0,1
3091974,Wales,67,near Eglwysbach,SH8170,OSGB,agricultural,24/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,tall herbs,Other - please describe below,Ragwort - Senecio jacobaea and relatives,Senecio jacobaea,Senecio jacobaea,Asteraceae,Target flowers cover less than half of patch,13,flower head,More or less isolated,10:20,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,0,1,3,0,0,1,5
3091980,Wales,67,near Eglwysbach,SH8170,OSGB,agricultural,24/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassy verge or hedgerow edge,NA,Other - please describe below,Knapweeds (Common or Greater) - Centaurea nigra or scabiosa,Centaurea nigra,Centaurea nigra,Asteraceae,Target flowers cover less than half of patch,7,flower head,More or less isolated,10:49,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,1,0,0,0,0,0,0,0,1,0,2
3091987,Wales,67,near Eglwysbach,SH8170,OSGB,agricultural,24/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Woodland,NA,Other - please describe below,Other - please describe below,Chamerion angustifolium,Chamerion angustifolium,Onagraceae,Target flowers cover less than half of patch,24,flower spike,Growing in a larger patch of the same flower,13:27,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,1,1,0,0,3,3,0,0,1,3,12
3091991,Wales,67,near Eglwysbach,SH8170,OSGB,agricultural,24/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,tall herbs,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium arvense,Cirsium arvense,Asteraceae,Target flowers cover more than half of patch,34,flower head,Growing in a larger patch of the same flower,12:14,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,2,0,0,0,3,0,5
3092593,Wales,71,Cefn Llwyd,SH8207,OSGB,semi-natural,22/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Farm crops or grassy pasture,NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium palustre,Cirsium palustre,Asteraceae,Target flowers cover less than half of patch,6,flower head,More or less isolated,11:40,All or mostly cloud,Partly in sun and partly shaded,Leaves still/moving occasionally,agricultural,open,0,0,0,0,1,3,0,0,0,0,4
3092634,Wales,71,Cefn Llwyd,SH8207,OSGB,semi-natural,22/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Farm crops or grassy pasture,NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium palustre,Cirsium palustre,Asteraceae,Target flowers cover more than half of patch,26,flower head,Growing in a larger patch of the same flower,11:58,All or mostly cloud,Partly in sun and partly shaded,Leaves still/moving occasionally,agricultural,open,1,0,1,0,0,6,0,0,0,2,10
3092640,Wales,71,Cefn Llwyd,SH8207,OSGB,semi-natural,22/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,bracken,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium palustre,Cirsium palustre,Asteraceae,Target flowers cover less than half of patch,17,flower head,More or less isolated,12:17,All or mostly cloud,Entirely shaded,Leaves moving gently all the time,semi-natural,open,0,0,0,0,0,3,0,0,0,1,4
3092646,Wales,71,Cefn Llwyd,SH8207,OSGB,semi-natural,22/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Potentilla erecta,Potentilla erecta,Rosaceae,Target flowers cover less than half of patch,8,individual flower,More or less isolated,12:50,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,0,7,0,0,5,0,12
3096954,Wales,71,Cefn Llwyd,SH8207,OSGB,semi-natural,18/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium palustre,Cirsium palustre,Asteraceae,Target flowers cover about half of patch,17,flower head,Growing in a larger patch of the same flower,14:05,All or mostly blue,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,1,0,0,0,0,0,0,0,0,0,1
3097014,Wales,71,Cefn Llwyd,SH8207,OSGB,semi-natural,18/07/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Farm crops or grassy pasture,NA,Other - please describe below,Buttercup (Ranunculus species),Ranunculus repens,Ranunculus repens,Ranunculaceae,Target flowers cover less than half of patch,10,individual flower,Growing in a larger patch of the same flower,14:20,All or mostly blue,Entirely in sunshine,Leaves moving gently all the time,agricultural,open,0,0,0,0,0,0,0,0,0,0,0
3097221,Wales,59,Wileirog,SN6185,OSGB,agricultural,21/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Achillea millefolia,Achillea millefolia,Asteraceae,Target flowers cover about half of patch,12,flower umbel,More or less isolated,12:50,All or mostly cloud,Partly in sun and partly shaded,Leaves moving gently all the time,semi-natural,open,1,0,0,0,1,13,0,1,5,5,26
3098192,Wales,73,Moel Penamnen,SH7148,OSGB,semi-natural,26/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium palustre,Cirsium palustre,Asteraceae,Target flowers cover less than half of patch,9,flower head,Growing in a larger patch of the same flower,12:00,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,semi-natural,open,3,0,0,0,1,0,0,0,1,0,5
3098197,Wales,73,Moel Penamnen,SH7148,OSGB,semi-natural,26/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Other - please describe below,heathland/moorland,Other - please describe below,Other - please describe below,Potentilla erecta,Potentilla erecta,Rosaceae,Target flowers cover less than half of patch,8,individual flower,Growing in a larger patch of the same flower,12:50,All or mostly cloud,Partly in sun and partly shaded,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,0,1,0,0,0,0,1
3098207,Wales,74,near Nantymaen,SN7659,OSGB,semi-natural,20/06/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Buttercup (Ranunculus species),Ranunculus repens,Ranunculus repens,Ranunculaceae,Target flowers cover less than half of patch,150,individual flower,Not recorded,13:15,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,open,0,0,0,0,5,4,0,0,6,0,15
