sample_id,country,location_code,location_name,X1km_square,date,year,pan_trap_station,occurrence_id,taxon_group,taxon_source,English_name,source_taxon_version_key,Order,Family,floral_unit,total_floral_units
3054564,England,76,near West Itchenor,SU7800,16/06/2017,2017,4,6004027,flowering plant,Galium aparine,Cleavers,NBNSYS0000004319,Gentianales,Rubiaceae,individual flower,40
3054564,England,76,near West Itchenor,SU7800,16/06/2017,2017,4,6004028,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,60
3065983,England,96,LLanrothal,SO4718,21/06/2017,2017,2,6022089,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,17
3065983,England,96,LLanrothal,SO4718,21/06/2017,2017,2,6022090,flowering plant,Trifolium pratense,Red Clover,NBNSYS0000003231,Fabales,Fabaceae,flower head,13
3065983,England,96,LLanrothal,SO4718,21/06/2017,2017,2,6022091,flowering plant,Plantago lanceolata,Ribwort Plantain,NBNSYS0000004275,Lamiales,Plantaginaceae,flower spike,15
3065983,England,96,LLanrothal,SO4718,21/06/2017,2017,2,6022092,flowering plant,Ranunculus acris,Meadow Buttercup,NBNSYS0000002708,Ranunculales,Ranunculaceae,individual flower,15
3065983,England,96,LLanrothal,SO4718,21/06/2017,2017,2,6022093,flowering plant,Stellaria graminea,Lesser Stitchwort,NBNSYS0000003037,Caryophyllales,Caryophyllaceae,individual flower,95
3065983,England,96,LLanrothal,SO4718,21/06/2017,2017,2,6022094,flowering plant,Lotus corniculatus,Common Bird's-foot-trefoil,NBNSYS0000003258,Fabales,Fabaceae,flower head,120
3065983,England,96,LLanrothal,SO4718,21/06/2017,2017,2,6022095,flowering plant,Rumex acetosa,Common Sorrel,NBNSYS0000003778,Caryophyllales,Polygonaceae,flower spike,14
3066030,England,96,LLanrothal,SO4718,21/06/2017,2017,3,6022150,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,23
3066030,England,96,LLanrothal,SO4718,21/06/2017,2017,3,6022151,flowering plant,Trifolium pratense,Red Clover,NBNSYS0000003231,Fabales,Fabaceae,flower head,55
3066030,England,96,LLanrothal,SO4718,21/06/2017,2017,3,6022152,flowering plant,Plantago lanceolata,Ribwort Plantain,NBNSYS0000004275,Lamiales,Plantaginaceae,flower spike,16
3066030,England,96,LLanrothal,SO4718,21/06/2017,2017,3,6022153,flowering plant,Ranunculus acris,Meadow Buttercup,NBNSYS0000002708,Ranunculales,Ranunculaceae,individual flower,9
3066030,England,96,LLanrothal,SO4718,21/06/2017,2017,3,6022154,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,2
3066048,England,96,LLanrothal,SO4718,21/06/2017,2017,4,6022206,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,17
3066048,England,96,LLanrothal,SO4718,21/06/2017,2017,4,6022207,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,10
3066048,England,96,LLanrothal,SO4718,21/06/2017,2017,4,6022208,flowering plant,Stellaria graminea,Lesser Stitchwort,NBNSYS0000003037,Caryophyllales,Caryophyllaceae,individual flower,2
3066048,England,96,LLanrothal,SO4718,21/06/2017,2017,4,6022209,flowering plant,Lotus corniculatus,Common Bird's-foot-trefoil,NBNSYS0000003258,Fabales,Fabaceae,flower head,3
3066048,England,96,LLanrothal,SO4718,21/06/2017,2017,4,6022210,flowering plant,Cirsium palustre,Marsh Thistle,NBNSYS0000004491,Asterales,Asteraceae,flower head,26
3066058,England,96,LLanrothal,SO4718,21/06/2017,2017,5,6022230,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,21
3066058,England,96,LLanrothal,SO4718,21/06/2017,2017,5,6022231,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,26
3070295,Wales,59,Wileirog,SN6185,21/08/2017,2017,1,6029328,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,2
3070295,Wales,59,Wileirog,SN6185,21/08/2017,2017,1,6029329,flowering plant,Cerastium fontanum,Common Mouse-ear,NBNSYS0000003022,Caryophyllales,Caryophyllaceae,individual flower,28
3070321,Wales,59,Wileirog,SN6185,21/08/2017,2017,2,6029392,flowering plant,Scorzoneroides autumnalis,Autumn Hawkbit,NHMSYS0021126374,Asterales,Asteraceae,flower head,6
3070321,Wales,59,Wileirog,SN6185,21/08/2017,2017,2,6029393,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,9
3070321,Wales,59,Wileirog,SN6185,21/08/2017,2017,2,6029394,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,3
3070333,Wales,59,Wileirog,SN6185,21/08/2017,2017,3,6029420,flowering plant,Cirsium arvense,Creeping Thistle,NBNSYS0000004492,Asterales,Asteraceae,flower head,7
3070333,Wales,59,Wileirog,SN6185,21/08/2017,2017,3,6029421,flowering plant,Cerastium fontanum,Common Mouse-ear,NBNSYS0000003022,Caryophyllales,Caryophyllaceae,individual flower,56
3070336,England,5,near Longtown,SO3129,22/06/2017,2017,1,6029433,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,31
3070336,England,5,near Longtown,SO3129,22/06/2017,2017,1,6029434,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,6
3070340,England,5,near Longtown,SO3129,22/06/2017,2017,2,6029445,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,3
3070340,England,5,near Longtown,SO3129,22/06/2017,2017,2,6029446,flowering plant,Trifolium pratense,Red Clover,NBNSYS0000003231,Fabales,Fabaceae,flower head,51
3070340,England,5,near Longtown,SO3129,22/06/2017,2017,2,6029447,flowering plant,Lotus corniculatus,Common Bird's-foot-trefoil,NBNSYS0000003258,Fabales,Fabaceae,flower head,1
3070340,England,5,near Longtown,SO3129,22/06/2017,2017,2,6029448,flowering plant,Ranunculus acris,Meadow Buttercup,NBNSYS0000002708,Ranunculales,Ranunculaceae,individual flower,90
3070359,England,5,near Longtown,SO3129,22/06/2017,2017,3,6029507,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,15
3070359,England,5,near Longtown,SO3129,22/06/2017,2017,3,6029508,flowering plant,Hypochaeris radicata,Cat's-ear,NBNSYS0000004518,Asterales,Asteraceae,flower head,55
3070359,England,5,near Longtown,SO3129,22/06/2017,2017,3,6029509,flowering plant,Leontodon hispidus,Rough Hawkbit,NBNSYS0000004523,Asterales,Asteraceae,flower head,17
3070359,England,5,near Longtown,SO3129,22/06/2017,2017,3,6029510,flowering plant,Trifolium pratense,Red Clover,NBNSYS0000003231,Fabales,Fabaceae,flower head,45
3070359,England,5,near Longtown,SO3129,22/06/2017,2017,3,6029511,flowering plant,Lotus corniculatus,Common Bird's-foot-trefoil,NBNSYS0000003258,Fabales,Fabaceae,flower head,70
3070359,England,5,near Longtown,SO3129,22/06/2017,2017,3,6029512,flowering plant,Ranunculus acris,Meadow Buttercup,NBNSYS0000002708,Ranunculales,Ranunculaceae,individual flower,9
3070370,England,5,near Longtown,SO3129,22/06/2017,2017,4,6029546,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,14
3070370,England,5,near Longtown,SO3129,22/06/2017,2017,4,6029547,flowering plant,Potentilla erecta,Tormentil,NBNSYS0000003349,Rosales,Rosaceae,individual flower,21
3070381,Wales,59,Wileirog,SN6185,21/08/2017,2017,4,6029554,flowering plant,Cirsium arvense,Creeping Thistle,NBNSYS0000004492,Asterales,Asteraceae,flower head,2
3070381,Wales,59,Wileirog,SN6185,21/08/2017,2017,4,6029555,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,34
3070381,Wales,59,Wileirog,SN6185,21/08/2017,2017,4,6029556,flowering plant,Hypochaeris radicata,Cat's-ear,NBNSYS0000004518,Asterales,Asteraceae,flower head,1
3070381,Wales,59,Wileirog,SN6185,21/08/2017,2017,4,6029557,flowering plant,Persicaria maculosa,Redshank,NBNSYS0000003753,Caryophyllales,Polygonaceae,flower spike,350
3070381,Wales,59,Wileirog,SN6185,21/08/2017,2017,4,6029558,flowering plant,Viola arvensis,Field Pansy,NBNSYS0000002947,Malpighiales,Violaceae,individual flower,2
3070381,Wales,59,Wileirog,SN6185,21/08/2017,2017,4,6029559,flowering plant,Cerastium fontanum,Common Mouse-ear,NBNSYS0000003022,Caryophyllales,Caryophyllaceae,individual flower,6
3070381,Wales,59,Wileirog,SN6185,21/08/2017,2017,4,6029560,flowering plant,Stachys arvensis,Field Woundwort,NBNSYS0000004231,Lamiales,Lamiaceae,flower spike,3
3070391,England,5,near Longtown,SO3129,22/06/2017,2017,5,6029587,flowering plant,Digitalis purpurea,Foxglove,NBNSYS0000004094,Lamiales,Plantaginaceae,individual flower,100
3070391,England,5,near Longtown,SO3129,22/06/2017,2017,5,6029588,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,37
3070391,England,5,near Longtown,SO3129,22/06/2017,2017,5,6029589,flowering plant,Stellaria holostea,Greater Stitchwort,NBNSYS0000003035,Caryophyllales,Caryophyllaceae,individual flower,7
3070394,Wales,59,Wileirog,SN6185,21/08/2017,2017,5,6029592,flowering plant,Scorzoneroides autumnalis,Autumn Hawkbit,NHMSYS0021126374,Asterales,Asteraceae,flower head,4
3070394,Wales,59,Wileirog,SN6185,21/08/2017,2017,5,6029593,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,6
3070677,England,19,Westhay Moor,ST4543,23/06/2017,2017,1,6030379,flowering plant,Symphytum officinale,Common Comfrey,NBNSYS0000003984,NA,Boraginaceae,individual flower,20
3070677,England,19,Westhay Moor,ST4543,23/06/2017,2017,1,6030380,flowering plant,Heracleum sphondylium,Hogweed,NBNSYS0000003710,Apiales,Apiaceae,flower umbel,9
3070677,England,19,Westhay Moor,ST4543,23/06/2017,2017,1,6030381,flowering plant,Calystegia sepium,Hedge Bindweed,NHMSYS0000456325,Solanales,Convolvulaceae,individual flower,3
3070677,England,19,Westhay Moor,ST4543,23/06/2017,2017,1,6030382,flowering plant,Scrophularia nodosa,Common Figwort,NBNSYS0000004078,Lamiales,Scrophulariaceae,individual flower,6
3070677,England,19,Westhay Moor,ST4543,23/06/2017,2017,1,6030383,flowering plant,Cirsium vulgare,Spear Thistle,NBNSYS0000004490,Asterales,Asteraceae,flower head,2
3070683,England,19,Westhay Moor,ST4543,23/06/2017,2017,2,6030407,flowering plant,Potentilla erecta,Tormentil,NBNSYS0000003349,Rosales,Rosaceae,individual flower,95
3070721,England,19,Westhay Moor,ST4543,23/06/2017,2017,3,6030587,flowering plant,Galium palustre,Marsh-bedstraw,NBNSYS0000004313,Gentianales,Rubiaceae,flower umbel,22
3070721,England,19,Westhay Moor,ST4543,23/06/2017,2017,3,6030588,flowering plant,Rubus fruticosus agg.,Bramble,NBNSYS0000003328,Rosales,Rosaceae,individual flower,3
3070721,England,19,Westhay Moor,ST4543,23/06/2017,2017,3,6030589,flowering plant,Rumex sanguineus,Wood Dock,NBNSYS0000003796,Caryophyllales,Polygonaceae,flower spike,3
3074476,Wales,63,Plas Bach,SH4072,20/06/2017,2017,1,6038578,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,9
3074476,Wales,63,Plas Bach,SH4072,20/06/2017,2017,1,6038579,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,8
3074476,Wales,63,Plas Bach,SH4072,20/06/2017,2017,1,6038580,flowering plant,Oenanthe crocata,Hemlock Water-dropwort,NBNSYS0000003693,Apiales,Apiaceae,flower umbel,55
3074476,Wales,63,Plas Bach,SH4072,20/06/2017,2017,1,6038581,flowering plant,Potentilla anserina,Silverweed,NHMSYS0021060392,Rosales,Rosaceae,individual flower,10
3074476,Wales,63,Plas Bach,SH4072,20/06/2017,2017,1,6038582,flowering plant,Rumex acetosa,Common Sorrel,NBNSYS0000003778,Caryophyllales,Polygonaceae,flower spike,9
3074492,Wales,63,Plas Bach,SH4072,20/06/2017,2017,2,6038608,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,26
3074492,Wales,63,Plas Bach,SH4072,20/06/2017,2017,2,6038609,flowering plant,Cerastium fontanum,Common Mouse-ear,NBNSYS0000003022,Caryophyllales,Caryophyllaceae,individual flower,1
3074500,Wales,63,Plas Bach,SH4072,20/06/2017,2017,3,6038612,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,80
3074500,Wales,63,Plas Bach,SH4072,20/06/2017,2017,3,6038613,flowering plant,Lotus pedunculatus,Greater Bird's-foot-trefoil,NBNSYS0000003260,Fabales,Fabaceae,flower head,1
3074500,Wales,63,Plas Bach,SH4072,20/06/2017,2017,3,6038614,flowering plant,Cerastium fontanum,Common Mouse-ear,NBNSYS0000003022,Caryophyllales,Caryophyllaceae,individual flower,3
3074500,Wales,63,Plas Bach,SH4072,20/06/2017,2017,3,6038615,flowering plant,Galium palustre,Marsh-bedstraw,NBNSYS0000004313,Gentianales,Rubiaceae,flower umbel,14
3074500,Wales,63,Plas Bach,SH4072,20/06/2017,2017,3,6038616,flowering plant,Ranunculus acris,Meadow Buttercup,NBNSYS0000002708,Ranunculales,Ranunculaceae,individual flower,18
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038633,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,10
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038634,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,13
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038635,flowering plant,Epilobium hirsutum,Great Willowherb,NBNSYS0000003536,Myrtales,Onagraceae,individual flower,2
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038636,flowering plant,Geranium robertianum,Herb-Robert,NBNSYS0000003162,Geraniales,Geraniaceae,individual flower,7
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038691,flowering plant,Rumex obtusifolius,Broad-leaved Dock,NBNSYS0000003791,Caryophyllales,Polygonaceae,flower spike,65
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038692,flowering plant,Cirsium palustre,Marsh Thistle,NBNSYS0000004491,Asterales,Asteraceae,flower head,25
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038693,flowering plant,Silene dioica,Red Campion,NBNSYS0000002998,Caryophyllales,Caryophyllaceae,individual flower,50
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038694,flowering plant,Apium nodiflorum,Fool's-water-cress,NBNSYS0000003666,Apiales,Apiaceae,flower umbel,1
3074526,Wales,63,Plas Bach,SH4072,20/06/2017,2017,4,6038695,flowering plant,Potentilla anserina,Silverweed,NHMSYS0021060392,Rosales,Rosaceae,individual flower,1
3074538,Wales,63,Plas Bach,SH4072,20/06/2017,2017,5,6038664,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,36
3074538,Wales,63,Plas Bach,SH4072,20/06/2017,2017,5,6038665,flowering plant,Stellaria graminea,Lesser Stitchwort,NBNSYS0000003037,Caryophyllales,Caryophyllaceae,individual flower,1500
3074538,Wales,63,Plas Bach,SH4072,20/06/2017,2017,5,6038666,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,3
3081595,England,19,Westhay Moor,ST4543,15/08/2017,2017,1,6056917,flowering plant,Calystegia sepium,Hedge Bindweed,NHMSYS0000456325,Solanales,Convolvulaceae,individual flower,3
3081595,England,19,Westhay Moor,ST4543,15/08/2017,2017,1,6056918,flowering plant,Angelica sylvestris,Wild Angelica,NBNSYS0000003703,Apiales,Apiaceae,flower umbel,16
3081603,England,19,Westhay Moor,ST4543,15/08/2017,2017,2,6056957,flowering plant,Lotus pedunculatus,Greater Bird's-foot-trefoil,NBNSYS0000003260,Fabales,Fabaceae,flower head,13
3081603,England,19,Westhay Moor,ST4543,15/08/2017,2017,2,6056958,flowering plant,Lythrum salicaria,Purple-loosestrife,NBNSYS0000003524,Myrtales,Lythraceae,flower spike,2
3081603,England,19,Westhay Moor,ST4543,15/08/2017,2017,2,6056959,flowering plant,Epilobium tetragonum,Square-stalked Willowherb,NBNSYS0000003567,Myrtales,Onagraceae,flower spike,2
3081626,England,19,Westhay Moor,ST4543,15/08/2017,2017,3,6057120,flowering plant,Mentha aquatica,Water Mint,NBNSYS0000004198,Lamiales,Lamiaceae,flower head,16
3081644,England,19,Westhay Moor,ST4543,15/08/2017,2017,4,6057134,flowering plant,Veronica persica,Common Field-speedwell,NHMSYS0000464828,Lamiales,Plantaginaceae,individual flower,2
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6063026,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,22
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6063027,flowering plant,Oenanthe crocata,Hemlock Water-dropwort,NBNSYS0000003693,Apiales,Apiaceae,flower umbel,23
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6063028,flowering plant,Potentilla anserina,Silverweed,NHMSYS0021060392,Rosales,Rosaceae,individual flower,3
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6063029,flowering plant,Filipendula ulmaria,Meadowsweet,NBNSYS0000003316,Rosales,Rosaceae,flower umbel,3
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6063030,flowering plant,Lotus pedunculatus,Greater Bird's-foot-trefoil,NBNSYS0000003260,Fabales,Fabaceae,flower head,15
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6063031,flowering plant,Cerastium fontanum,Common Mouse-ear,NBNSYS0000003022,Caryophyllales,Caryophyllaceae,individual flower,4
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6063552,flowering plant,Rubus fruticosus agg.,Bramble,NBNSYS0000003328,Rosales,Rosaceae,individual flower,3
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6063553,flowering plant,Solanum dulcamara,Bittersweet,NBNSYS0000004037,Solanales,Solanaceae,individual flower,7
3083691,Wales,63,Plas Bach,SH4072,18/07/2017,2017,1,6069815,flowering plant,Cerastium fontanum subsp. holosteoides,NA,NHMSYS0000457067,Caryophyllales,Caryophyllaceae,individual flower,4
3083704,Wales,63,Plas Bach,SH4072,18/07/2017,2017,2,6063040,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,2
3083704,Wales,63,Plas Bach,SH4072,18/07/2017,2017,2,6063584,flowering plant,Cerastium fontanum,Common Mouse-ear,NBNSYS0000003022,Caryophyllales,Caryophyllaceae,individual flower,1
3083726,Wales,63,Plas Bach,SH4072,18/07/2017,2017,3,6063065,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,24
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063393,flowering plant,Epilobium hirsutum,Great Willowherb,NBNSYS0000003536,Myrtales,Onagraceae,individual flower,115
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063394,flowering plant,Impatiens glandulifera,Indian Balsam,NBNSYS0000003189,Ericales,Balsaminaceae,individual flower,2
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063395,flowering plant,Heracleum sphondylium,Hogweed,NBNSYS0000003710,Apiales,Apiaceae,flower umbel,1
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063396,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,50
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063397,flowering plant,Rubus fruticosus agg.,Bramble,NBNSYS0000003328,Rosales,Rosaceae,individual flower,1
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063398,flowering plant,Silene dioica,Red Campion,NBNSYS0000002998,Caryophyllales,Caryophyllaceae,individual flower,13
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063399,flowering plant,Cirsium palustre,Marsh Thistle,NBNSYS0000004491,Asterales,Asteraceae,flower head,11
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063400,flowering plant,Galium aparine,Cleavers,NBNSYS0000004319,Gentianales,Rubiaceae,individual flower,55
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063401,flowering plant,Oenanthe crocata,Hemlock Water-dropwort,NBNSYS0000003693,Apiales,Apiaceae,flower umbel,5
3083900,Wales,63,Plas Bach,SH4072,18/07/2017,2017,4,6063402,flowering plant,Geranium robertianum,Herb-Robert,NBNSYS0000003162,Geraniales,Geraniaceae,individual flower,2
3083956,Wales,63,Plas Bach,SH4072,18/07/2017,2017,5,6063480,flowering plant,Urtica dioica,Common Nettle,NBNSYS0000003807,Rosales,Urticaceae,flower spike,1
3083956,Wales,63,Plas Bach,SH4072,18/07/2017,2017,5,6063481,flowering plant,Stellaria graminea,Lesser Stitchwort,NBNSYS0000003037,Caryophyllales,Caryophyllaceae,individual flower,134
3083956,Wales,63,Plas Bach,SH4072,18/07/2017,2017,5,6063482,flowering plant,Cirsium arvense,Creeping Thistle,NBNSYS0000004492,Asterales,Asteraceae,flower head,3
3084686,England,10,Idestone,SX7048,25/08/2017,2017,1,6064727,flowering plant,Lapsana communis,Nipplewort,NBNSYS0000004515,Asterales,Asteraceae,flower head,80
3084686,England,10,Idestone,SX7048,25/08/2017,2017,1,6064728,flowering plant,Veronica persica,Common Field-speedwell,NHMSYS0000464828,Lamiales,Plantaginaceae,individual flower,1
3084686,England,10,Idestone,SX7048,25/08/2017,2017,1,6064729,flowering plant,Solanum tuberosum,Potato,NBNSYS0000004042,Solanales,Solanaceae,individual flower,2
3084702,England,10,Idestone,SX7048,25/08/2017,2017,2,6064746,flowering plant,Rubus fruticosus agg.,Bramble,NBNSYS0000003328,Rosales,Rosaceae,individual flower,3
3084725,Wales,64,Pilleth,SO2568,19/06/2017,2017,1,6064808,flowering plant,Rubus fruticosus agg.,Bramble,NBNSYS0000003328,Rosales,Rosaceae,individual flower,25
3084725,Wales,64,Pilleth,SO2568,19/06/2017,2017,1,6064809,flowering plant,Veronica chamaedrys,Germander Speedwell,NBNSYS0000004104,Lamiales,Plantaginaceae,individual flower,200
3084725,Wales,64,Pilleth,SO2568,19/06/2017,2017,1,6064810,flowering plant,Stellaria holostea,Greater Stitchwort,NBNSYS0000003035,Caryophyllales,Caryophyllaceae,individual flower,200
3084725,Wales,64,Pilleth,SO2568,19/06/2017,2017,1,6064811,flowering plant,Galium saxatile,Heath Bedstraw,NBNSYS0000004310,Gentianales,Rubiaceae,flower umbel,500
3084725,Wales,64,Pilleth,SO2568,19/06/2017,2017,1,6064812,flowering plant,Digitalis grandiflora,Yellow Foxglove,NHMSYS0000458093,Lamiales,Plantaginaceae,individual flower,3
3084725,Wales,64,Pilleth,SO2568,19/06/2017,2017,1,6064813,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,2
3084725,Wales,64,Pilleth,SO2568,19/06/2017,2017,1,6064814,flowering plant,Crepis capillaris,Smooth Hawk's-beard,NBNSYS0000004576,Asterales,Asteraceae,flower head,7
3084728,England,10,Idestone,SX7048,25/08/2017,2017,4,6064849,flowering plant,Crepis capillaris,Smooth Hawk's-beard,NBNSYS0000004576,Asterales,Asteraceae,flower head,18
3084735,Wales,64,Pilleth,SO2568,19/06/2017,2017,2,6064866,flowering plant,Rubus fruticosus agg.,Bramble,NBNSYS0000003328,Rosales,Rosaceae,individual flower,4
3084735,Wales,64,Pilleth,SO2568,19/06/2017,2017,2,6064867,flowering plant,Digitalis purpurea,Foxglove,NBNSYS0000004094,Lamiales,Plantaginaceae,individual flower,4
3084735,Wales,64,Pilleth,SO2568,19/06/2017,2017,2,6064868,flowering plant,Trifolium repens,White Clover,NBNSYS0000003247,Fabales,Fabaceae,flower head,4
3084735,Wales,64,Pilleth,SO2568,19/06/2017,2017,2,6064869,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,2
3084735,Wales,64,Pilleth,SO2568,19/06/2017,2017,2,6064870,flowering plant,Sambucus nigra,Elder,NBNSYS0000004324,Dipsacales,Adoxaceae,flower umbel,45
3084735,Wales,64,Pilleth,SO2568,19/06/2017,2017,2,6064871,flowering plant,Ulex gallii,Western Gorse,NHMSYS0000464695,Fabales,Fabaceae,individual flower,8
3084736,England,10,Idestone,SX7048,25/08/2017,2017,5,6064872,flowering plant,Scorzoneroides autumnalis,Autumn Hawkbit,NHMSYS0021126374,Asterales,Asteraceae,flower head,11
